name,dev0,dev1
Image_w1920_h1200_fn171.jpg,[1112.5  619. ],[936. 510.]
Image_w1920_h1200_fn172.jpg,[1107.  620.],[928.  507.5]
Image_w1920_h1200_fn173.jpg,[1098.   621.5],[931.  505.5]
Image_w1920_h1200_fn174.jpg,[1080.   616.5],[946.5 499.5]
Image_w1920_h1200_fn175.jpg,[1054.5  609. ],[972.5 492. ]
Image_w1920_h1200_fn176.jpg,[1027.   600.5],[1006.  483.]
Image_w1920_h1200_fn177.jpg,[1003.  593.],[1039.  475.]
Image_w1920_h1200_fn178.jpg,[981.5 585. ],[1067.5  467. ]
Image_w1920_h1200_fn179.jpg,[963. 576.],[1096.  460.]
Image_w1920_h1200_fn180.jpg,[950.  569.5],[1120.   456.5]
Image_w1920_h1200_fn181.jpg,[937.5 570.5],[1139.  459.]
Image_w1920_h1200_fn182.jpg,[927.5 574. ],[1157.5  467. ]
Image_w1920_h1200_fn183.jpg,[921.5 579.5],[1174.5  477.5]
Image_w1920_h1200_fn184.jpg,[914.  588.5],[1185.5  491.5]
Image_w1920_h1200_fn185.jpg,[908. 597.],[1201.  504.]
Image_w1920_h1200_fn186.jpg,[899. 603.],[1221.   518.5]
Image_w1920_h1200_fn187.jpg,[891.  607.5],[1241.  533.]
Image_w1920_h1200_fn188.jpg,[888.5 614.5],[1261.   544.5]
Image_w1920_h1200_fn189.jpg,[885.5 615.5],[1277.5  552.5]
Image_w1920_h1200_fn190.jpg,[880.5 616. ],[1289.5  558.5]
Image_w1920_h1200_fn191.jpg,[874.5 619.5],[1301.   566.5]
Image_w1920_h1200_fn192.jpg,[872.5 628.5],[1315.  579.]
Image_w1920_h1200_fn193.jpg,[872.5 639. ],[1321.   593.5]
Image_w1920_h1200_fn194.jpg,[868.  653.5],[1325.   611.5]
Image_w1920_h1200_fn195.jpg,[865.5 672.5],[1327.5  631.5]
Image_w1920_h1200_fn196.jpg,[867. 691.],[1330.5  653.5]
Image_w1920_h1200_fn197.jpg,[863.5 705.5],[1338.5  672.5]
Image_w1920_h1200_fn198.jpg,[864. 721.],[1343.5  693. ]
Image_w1920_h1200_fn199.jpg,[865. 731.],[1353.5  709. ]
Image_w1920_h1200_fn200.jpg,[867. 736.],[1362.   716.5]
Image_w1920_h1200_fn201.jpg,[869.5 732. ],[1362.   716.5]
Image_w1920_h1200_fn202.jpg,[873.5 732. ],[1385.5  724. ]
Image_w1920_h1200_fn203.jpg,[877. 740.],[1397.5  735.5]
Image_w1920_h1200_fn204.jpg,[872.5 750. ],[1410.  752.]
Image_w1920_h1200_fn205.jpg,[870.  760.5],[1423.5  767.5]
Image_w1920_h1200_fn206.jpg,[872.5 768. ],[1439.  779.]
Image_w1920_h1200_fn207.jpg,[872.5 768.5],[1453.   783.5]
Image_w1920_h1200_fn208.jpg,[869. 760.],[1465.5  781.5]
Image_w1920_h1200_fn209.jpg,[870.  742.5],[1483.5  771.5]
Image_w1920_h1200_fn210.jpg,[878.  723.5],[1500.5  758. ]
Image_w1920_h1200_fn211.jpg,[874. 697.],[1516.5  739. ]
Image_w1920_h1200_fn212.jpg,[862. 668.],[1532.   716.5]
Image_w1920_h1200_fn213.jpg,[838.  643.5],[1547.5  692. ]
Image_w1920_h1200_fn214.jpg,[817.  618.5],[1566.5  670. ]
Image_w1920_h1200_fn215.jpg,[799.  604.5],[1586.5  650.5]
Image_w1920_h1200_fn216.jpg,[773.5 586.5],[1605.5  635.5]
Image_w1920_h1200_fn217.jpg,[750. 575.],[1620.5  622. ]
Image_w1920_h1200_fn218.jpg,[726. 566.],[1642.5  610.5]
Image_w1920_h1200_fn219.jpg,[703.5 568. ],[1669.   610.5]
Image_w1920_h1200_fn220.jpg,[680. 570.],[1693.5  612. ]
Image_w1920_h1200_fn221.jpg,[660.  569.5],[1711.5  610.5]
Image_w1920_h1200_fn222.jpg,[644.5 568. ],[1725.   607.5]
Image_w1920_h1200_fn223.jpg,[640. 569.],[1723.5  604. ]
Image_w1920_h1200_fn224.jpg,[651. 578.],[1698.  603.]
Image_w1920_h1200_fn225.jpg,[673.5 590.5],[1655.  604.]
Image_w1920_h1200_fn226.jpg,[699.  603.5],[1604.5  607.5]
Image_w1920_h1200_fn227.jpg,[722. 616.],[1557.  610.]
Image_w1920_h1200_fn228.jpg,[743.5 625. ],[1521.5  611. ]
Image_w1920_h1200_fn229.jpg,[761. 631.],[1490.5  612. ]
Image_w1920_h1200_fn230.jpg,[773. 637.],[1470.5  614.5]
Image_w1920_h1200_fn231.jpg,[780.5 641. ],[1452.   614.5]
Image_w1920_h1200_fn232.jpg,[785.5 645. ],[1437.  616.]
Image_w1920_h1200_fn233.jpg,[785. 649.],[1425.5  616. ]
Image_w1920_h1200_fn234.jpg,[785. 653.],[1416.   614.5]
Image_w1920_h1200_fn235.jpg,[783.  655.5],[1411.5  614.5]
Image_w1920_h1200_fn236.jpg,[781. 656.],[1410.   613.5]
Image_w1920_h1200_fn237.jpg,[777.5 656. ],[1412.  613.]
Image_w1920_h1200_fn238.jpg,[775. 658.],[1417.5  616.5]
Image_w1920_h1200_fn239.jpg,[771.5 659. ],[1424.   618.5]
Image_w1920_h1200_fn240.jpg,[765. 658.],[1426.5  617. ]
Image_w1920_h1200_fn241.jpg,[749.5 660. ],[1422.  610.]
Image_w1920_h1200_fn242.jpg,[734.  667.5],[1410.5  599.5]
Image_w1920_h1200_fn243.jpg,[708. 675.],[1390.  585.]
Image_w1920_h1200_fn244.jpg,[677. 687.],[1362.  567.]
Image_w1920_h1200_fn245.jpg,[644.5 703. ],[1317.  548.]
Image_w1920_h1200_fn246.jpg,[614. 722.],[1260.   526.5]
Image_w1920_h1200_fn247.jpg,[590. 735.],[1204.  506.]
Image_w1920_h1200_fn248.jpg,[571. 748.],[1154.  489.]
Image_w1920_h1200_fn249.jpg,[558.5 756. ],[1115.   483.5]
Image_w1920_h1200_fn250.jpg,[556.5 765. ],[1089.5  485. ]
Image_w1920_h1200_fn251.jpg,[555. 769.],[1068.   485.5]
Image_w1920_h1200_fn252.jpg,[555. 773.],[1047.   485.5]
Image_w1920_h1200_fn253.jpg,[555. 772.],[1029.  477.]
Image_w1920_h1200_fn254.jpg,[557.5 766. ],[1013.  458.]
Image_w1920_h1200_fn255.jpg,[561.5 755. ],[999. 431.]
Image_w1920_h1200_fn256.jpg,[563.  747.5],[986. 409.]
Image_w1920_h1200_fn257.jpg,[570.  745.5],[972.  400.5]
Image_w1920_h1200_fn258.jpg,[580.5 745.5],[949.5 400.5]
Image_w1920_h1200_fn259.jpg,[595.5 742.5],[920.  392.5]
Image_w1920_h1200_fn260.jpg,[615.5 732. ],[890. 378.]
Image_w1920_h1200_fn261.jpg,[631.5 723. ],[865.5 357.5]
Image_w1920_h1200_fn262.jpg,[647.5 711.5],[849.5 337.5]
Image_w1920_h1200_fn263.jpg,[663.5 699. ],[845.5 323.5]
Image_w1920_h1200_fn264.jpg,[682.5 685.5],[859.  317.5]
Image_w1920_h1200_fn265.jpg,[701.5 668.5],[889.  320.5]
Image_w1920_h1200_fn266.jpg,[723. 647.],[928.  327.5]
Image_w1920_h1200_fn267.jpg,[739.5 630.5],[957.5 323.5]
Image_w1920_h1200_fn268.jpg,[745. 613.],[974.5 305. ]
Image_w1920_h1200_fn269.jpg,[751.5 596. ],[988.5 284.5]
Image_w1920_h1200_fn270.jpg,[755.5 578.5],[1004.   267.5]
Image_w1920_h1200_fn271.jpg,[761.5 560. ],[1020.  252.]
Image_w1920_h1200_fn272.jpg,[767. 545.],[1035.   240.5]
Image_w1920_h1200_fn273.jpg,[773. 533.],[1045.5  236. ]
Image_w1920_h1200_fn274.jpg,[777. 528.],[1051.  233.]
Image_w1920_h1200_fn275.jpg,[784.5 522.5],[1056.5  231.5]
Image_w1920_h1200_fn276.jpg,[784.5 521. ],[1059.5  233. ]
Image_w1920_h1200_fn277.jpg,[786.5 524. ],[1059.5  241. ]
Image_w1920_h1200_fn278.jpg,[788. 532.],[1058.  255.]
Image_w1920_h1200_fn279.jpg,[785.5 545.5],[1058.5  271.5]
